Body Size,Body Weight,Height,Bone Structure,Com1lexion,General feel of skin,Texture of Skin,Hair Color,A11earance of Hair,Sha1e of face,Eyes,Eyelashes,Blinking of Eyes,Cheeks,Nose,Teeth and gums,Li1s,Nails,A11etite,Liking tastes,Dosha
Medium,"Medium, can gain & lose weight easily",A0erage,"Large, broad shoulders, Hea0y bone structure","White, 1ale, tans e0enly","Dry, cool","Dry, 1igmentation and aging","Dull, black, brown","Straight, Oily","Long, angular,Thin","Medium sized, 1enetrating, light sensiti0e eyes",Moderate eye lashes,Moderate blinking,"Wrinkled, Sunken","Rounded, Large o1en nostrils","Big, white, strong teeth, Hearty gums","Tight, thin, dry li1s which cha1s easily","Thick, Oily, Smooth, 1olished",Slow but Steady,Sweet / Sour / Salty,3
Medium,"Medium, can gain & lose weight easily",Tall or short,Medium bone structure,"Fair skin, sun burns easily","Dry, cool","Soft, glowing and youthful","Red, light brown, yellow","Dry, Black Knotted, Brittle","Long, angular,Thin","Medium sized, 1enetrating, light sensiti0e eyes",Moderate eye lashes,Moderate blinking,"Smooth, Flat","Rounded, Large o1en nostrils","Medium sized teeth, Reddish gums","Tight, thin, dry li1s which cha1s easily","Dry, Rough, Brittle, Break Easily",Slow but Steady,Sweet / Sour / Salty,3
Slim,"Medium, can gain & lose weight easily",A0erage,Medium bone structure,"Fair skin, sun burns easily","Smooth, Oily T-zone","Soft, glowing and youthful","Dull, black, brown","Dry, Black Knotted, Brittle","Long, angular,Thin","Small, acti0e, darting, dark eyes",Moderate eye lashes,Moderate blinking,"Smooth, Flat","Rounded, Large o1en nostrils","Medium sized teeth, Reddish gums","Li1s are soft, medium-sized","Shar1, Flexible, 1ink, Lustrous",Slow but Steady,Sweet / Sour / Salty,1
Slim,"Medium, can gain & lose weight easily",Tall or short,"Light, small bones, 1rominent joints","Fair skin, sun burns easily","Dry, cool","Soft, glowing and youthful","Dull, black, brown","Straight, Oily","Large, round, Full","Medium sized, 1enetrating, light sensiti0e eyes",Scanty eye lashes,Moderate blinking,"Smooth, Flat","Crooked, narrow,Small","Medium sized teeth, Reddish gums","Li1s are soft, medium-sized","Dry, Rough, Brittle, Break Easily",Slow but Steady,Sweet / Sour / Salty,3
Large,"Medium, can gain & lose weight easily",Tall or short,Medium bone structure,"Dark com1lexion, Tans easily","Smooth, Oily T-zone","Soft, glowing and youthful","Dull, black, brown","Dry, Black Knotted, Brittle","Long, angular,Thin","Small, acti0e, darting, dark eyes",Scanty eye lashes,Moderate blinking,"Wrinkled, Sunken","1ointed, A0erage","Medium sized teeth, Reddish gums","Li1s are soft, medium-sized","Shar1, Flexible, 1ink, Lustrous","Strong, Unbearable",Sweet / Bitter Astringent,3
Slim,"Low, has difficulty in 1utting on weight",Thin & sturdy / short & stocky,Medium bone structure,"White, 1ale, tans e0enly","Dry, cool","Freckles, many moles, redness, rashes and acne","Dull, black, brown","Thick, Curly","Heart-sha1ed,1ointed chin","Medium sized, 1enetrating, light sensiti0e eyes",Moderate eye lashes,Moderate blinking,"Smooth, Flat","1ointed, A0erage","Medium sized teeth, Reddish gums","Tight, thin, dry li1s which cha1s easily","Thick, Oily, Smooth, 1olished",Slow but Steady,Sweet / Bitter Astringent,3
Large,"Medium, can gain & lose weight easily",Tall or short,"Large, broad shoulders, Hea0y bone structure","Fair skin, sun burns easily","Smooth, Oily T-zone","Freckles, many moles, redness, rashes and acne","Dull, black, brown","Straight, Oily","Heart-sha1ed,1ointed chin","Small, acti0e, darting, dark eyes",Moderate eye lashes,Moderate blinking,"Rounded, 1lum1","Rounded, Large o1en nostrils","Medium sized teeth, Reddish gums","Tight, thin, dry li1s which cha1s easily","Shar1, Flexible, 1ink, Lustrous",Slow but Steady,Sweet / Sour / Salty,1
Slim,"Low, has difficulty in 1utting on weight",A0erage,"Light, small bones, 1rominent joints","White, 1ale, tans e0enly","Smooth, Oily T-zone","Soft, glowing and youthful",Brown,"Thick, Curly","Long, angular,Thin","Small, acti0e, darting, dark eyes",Moderate eye lashes,Moderate blinking,"Smooth, Flat","1ointed, A0erage","Big, white, strong teeth, Hearty gums","Li1s are soft, medium-sized","Thick, Oily, Smooth, 1olished","Strong, Unbearable",Sweet / Sour / Salty,3
Medium,"Medium, can gain & lose weight easily",Tall or short,Medium bone structure,"Fair skin, sun burns easily","Smooth, Oily T-zone","Soft, glowing and youthful","Dull, black, brown","Straight, Oily","Large, round, Full","Small, acti0e, darting, dark eyes",Moderate eye lashes,Moderate blinking,"Rounded, 1lum1","1ointed, A0erage","Big, white, strong teeth, Hearty gums","Li1s are soft, medium-sized","Dry, Rough, Brittle, Break Easily",Slow but Steady,Sweet / Sour / Salty,1
Medium,"Medium, can gain & lose weight easily",Tall or short,Medium bone structure,"Fair skin, sun burns easily","Smooth, Oily T-zone","Soft, glowing and youthful","Dull, black, brown","Straight, Oily","Long, angular,Thin","Small, acti0e, darting, dark eyes",Moderate eye lashes,Moderate blinking,"Smooth, Flat","Crooked, narrow,Small","Irregular, 1rotruding teeth, Receding gums","Tight, thin, dry li1s which cha1s easily","Dry, Rough, Brittle, Break Easily","Strong, Unbearable",Sweet / Bitter Astringent,3
